"","rank","University","Total.Students","student.staff.ratio","pc.of.int.l.students","female.male.ratio"
"1111","1001¡V1200","Nagasaki University","8,877",6.7,"6%","39 : 61"
"1112","1001¡V1200","Nanjing University of Aeronautics and Astronautics","30,713",15.7,"3%","29 : 71"
"1113","1001¡V1200","National Central University","11,101",9.8,"12%","34 : 66"
"1114","1001¡V1200","National Chengchi University","12,750",14.9,"16%","56 : 44"
"1115","1001¡V1200","National University of Colombia","51,722",21.6,"1%","38 : 62"
"1116","1001¡V1200","National Dong Hwa University","9,907",16.7,"8%","52 : 48"
"1117","1001¡V1200","National Institute of Technology, Tiruchirappalli","6,188",15,"8%","22 : 78"
"1118","1001¡V1200","National University of San Martin","15,964",15.8,"5%","65 : 35"
"1119","1001¡V1200","National Taipei University of Technology","9,882",15.6,"11%","28 : 72"
"1120","1001¡V1200","National Yunlin University of Science and Technology","9,199",22.4,"6%","43 : 57"
"1121","1001¡V1200","Nicolaus Copernicus University in Toru<U+0144>","23,157",15.3,"3%","68 : 32"
"1122","1001¡V1200","North China Electric Power University","37,957",19.1,"3%","36 : 64"
"1123","1001¡V1200","Northwest University","24,365",13.4,"7%","55 : 45"
"1124","1001¡V1200","Oakland University","15,544",18.4,"4%","57 : 43"
"1125","1001¡V1200","Obuda University","12,378",50.1,"5%","19 : 81"
"1126","1001¡V1200","Ocean University of China","29,189",15.5,"4%","54 : 46"
"1127","1001¡V1200","Okayama University","13,145",10.3,"9%","40 : 60"
"1128","1001¡V1200","Osmania University","12,584",27.3,"3%","39 : 61"
"1129","1001¡V1200","Ozyegin University","6,649",21,"5%","43 : 57"
"1130","1001¡V1200","Pavol Jozef <U+0160>afarik University in Ko<U+0161>ice","7,198",10.6,"23%","60 : 40"
"1131","1001¡V1200","Universitas Pendidikan Indonesia","34,766",22.8,"1%","72 : 28"
"1132","1001¡V1200","Polytechnic Institute of Porto","18,428",16.4,"7%","48 : 52"
"1133","1001¡V1200","Pondicherry University","7,080",21.1,"1%","45 : 55"
"1134","1001¡V1200","Pontifical Catholic University of Peru","26,809",7.1,"2%","46 : 54"
"1135","1001¡V1200","Pontifical Catholic University of Valparaiso","17,411",25.4,"1%","42 : 58"
"1136","1001¡V1200","Pontificia Universidade Catolica do Parana","13,324",14.9,"1%","55 : 45"
"1137","1001¡V1200","University of Primorska","5,149",15.1,"14%","77 : 23"
"1138","1001¡V1200","Public University of Navarre","7,498",11.4,"8%","51 : 49"
"1139","1001¡V1200","University of Puerto Rico","49,505",12,"0%","60 : 40"
"1140","1001¡V1200","University of the Punjab","27,907",23.7,"0%","52 : 48"
"1141","1001¡V1200","University Rey Juan Carlos","44,197",21.9,"8%","59 : 41"
"1142","1001¡V1200","Riga Technical University","10,515",32.5,"18%","35 : 65"
"1143","1001¡V1200","Rikkyo University","19,946",15.5,"5%","n/a"
"1144","1001¡V1200","Robert Gordon University","8,899",18.7,"23%","61 : 39"
"1145","1001¡V1200","Rowan University","17,576",17.5,"3%","47 : 53"
"1146","1001¡V1200","Universite Saint-Joseph de Beyrouth","7,985",8.3,"8%","62 : 38"
"1147","1001¡V1200","Saitama Medical University","1,942",1.5,"0%","49 : 51"
"1148","1001¡V1200","San Jose State University","29,960",28.3,"11%","52 : 48"
"1149","1001¡V1200","University of Sargodha","21,249",26.5,"0%","52 : 48"
"1150","1001¡V1200","SASTRA University","9,851",13.6,"0%","44 : 56"
"1151","1001¡V1200","Sechenov University","16,076",7.7,"21%","69 : 31"
"1152","1001¡V1200","Semnan University","14,606",14.6,"1%","50 : 50"
"1153","1001¡V1200","University of Seoul","9,183",16.6,"6%","n/a"
"1154","1001¡V1200","University of Seville","49,826",16.9,"11%","58 : 42"
"1155","1001¡V1200","Shahid Chamran University of Ahvaz","13,079",21.7,"3%","59 : 41"
"1156","1001¡V1200","Shahrekord University","6,954",20.2,"0%","59 : 41"
"1157","1001¡V1200","Shahrood University of Technology","8,269",22.8,"1%","42 : 58"
"1158","1001¡V1200","Shanghai Maritime University","22,774",15.8,"3%","46 : 54"
"1159","1001¡V1200","Shiga University of Medical Science","1,155",3.1,"3%","49 : 51"
"1160","1001¡V1200","Siberian Federal University","10,168",19.3,"12%","35 : 65"
"1161","1001¡V1200","University of Social Welfare and Rehabilitation Sciences","1,732",11,"2%","68 : 32"
"1162","1001¡V1200","Sogang University","9,652",23.5,"14%","45 : 55"
"1163","1001¡V1200","South Ural State University","20,326",14.2,"9%","41 : 59"
"1164","1001¡V1200","University of South Wales","15,310",15,"18%","54 : 46"
"1165","1001¡V1200","Southwest Jiaotong University","43,424",16,"2%","25 : 75"
"1166","1001¡V1200","University of Split","19,600",17,"2%","56 : 44"
"1167","1001¡V1200","Sri Venkateswara University","7,658",14.4,"0%","42 : 58"
"1168","1001¡V1200","Staffordshire University","9,119",17.5,"12%","48 : 52"
"1169","1001¡V1200","St Marianna University School of Medicine","839",0.9,"1%","36 : 64"
"1170","1001¡V1200","SWPS University of Social Sciences and Humanities","13,987",36,"9%","75 : 25"
"1171","1001¡V1200","Tallinn University","4,062",10.3,"19%","71 : 29"
"1172","1001¡V1200","Tanta University","124,548",22.8,"1%","53 : 47"
"1173","1001¡V1200","Technological University Dublin","20,479",18.9,"20%","43 : 57"
"1174","1001¡V1200","University of Technology of Compiegne","4,241",15.8,"23%","39 : 61"
"1175","1001¡V1200","University of Technology of Troyes","2,954",18.3,"23%","23 : 77"
"1176","1001¡V1200","Teesside University","12,780",19.8,"15%","57 : 43"
"1177","1001¡V1200","Texas State University","31,600",19.2,"1%","59 : 41"
"1178","1001¡V1200","Tezpur University","3,985",12.8,"0%","41 : 59"
"1179","1001¡V1200","Tokyo University of Agriculture and Technology","5,690",15.2,"6%","31 : 69"
"1180","1001¡V1200","Tokyo Medical University","1,370",1.7,"0%","49 : 51"
"1181","1001¡V1200","Tshwane University of Technology","48,386",42.4,"2%","54 : 46"
"1182","1001¡V1200","University of Tunis El Manar","29,049",8.9,"2%","68 : 32"
"1183","1001¡V1200","Universiti Tunku Abdul Rahman (UTAR)","17,727",15.4,"4%","51 : 49"
"1184","1001¡V1200","Ural Federal University","27,099",13,"16%","49 : 51"
"1185","1001¡V1200","Urmia University","14,729",28.9,"1%","50 : 50"
"1186","1001¡V1200","Vietnam National University, Hanoi","41,803",14.3,"1%","64 : 36"
"1187","1001¡V1200","University of Vigo","17,794",15.6,"6%","51 : 49"
"1188","1001¡V1200","Vilnius Gediminas Technical University (Vilnius Tech)","9,164",13.8,"12%","32 : 68"
"1189","1001¡V1200","Visvesvaraya National Institute of Technology, Nagpur","4,616",17.2,"3%","24 : 76"
"1190","1001¡V1200","Volgograd State Technical University","13,307",14.1,"8%","31 : 69"
"1191","1001¡V1200","University of West Bohemia","10,751",14.8,"4%","54 : 46"
"1192","1001¡V1200","University of Wolverhampton","14,527",17.6,"22%","63 : 37"
"1193","1001¡V1200","Xiangtan University","31,402",20.9,"2%","54 : 46"
"1194","1001¡V1200","Yangzhou University","34,393",12.6,"4%","55 : 45"
"1195","1001¡V1200","Y<U+0131>ld<U+0131>z Technical University","31,369",33.3,"6%","42 : 58"
"1196","1001¡V1200","University of Zagreb","57,807",15.2,"4%","60 : 40"
"1197","1001¡V1200","Zanjan University of Medical Sciences","4,677",11.1,"1%","57 : 43"
"1198","1001¡V1200","University of Zaragoza","27,953",10,"7%","54 : 46"
"1199","1001¡V1200","Zhejiang University of Technology","31,469",14.9,"7%","n/a"
"1200","1001¡V1200","University of <U+017D>ilina","7,040",12.2,"2%","34 : 66"
"1201","1201+","Chang Gung University of Science and Technology","6,318",26.4,"1%","90 : 10"
"1202","1201+","Lucian Blaga University of Sibiu","12,174",15.8,"2%","62 : 38"
"1203","1201+","Ming Chi University of Technology","4,496",18.5,"2%","27 : 73"
"1204","1201+","Nizhny Novgorod State Technical University","7,165",10.1,"3%","26 : 74"
"1205","1201+","Oles Honchar Dnipro National University","9,522",12.1,"1%","60 : 40"
"1206","1201+","Persian Gulf University","6,689",29.3,"1%","53 : 47"
"1207","1201+","Technical University of Sofia","10,560",13.1,"7%","36 : 64"
"1208","1201+","University of Ilorin","56,941",37.9,"0%","41 : 59"
"1209","1201+","University of Pannonia","5,890",16.9,"9%","48 : 52"
"1210","1201+","University of Rijeka","14,423",17.3,"1%","57 : 43"
"1211","1201+","University of Shanghai for Science and Technology","29,817",11.4,"2%","41 : 59"
"1212","1201+","University of Abou Bekr Belkaid Tlemcen","42,261",21.2,"1%","67 : 33"
"1213","1201+","Ac<U+0131>badem University","2,687",5.9,"3%","74 : 26"
"1214","1201+","Adolfo Ibanez University","10,375",25.4,"5%","38 : 62"
"1215","1201+","AGH University of Science and Technology","21,317",15.4,"2%","35 : 65"
"1216","1201+","Airlangga University","27,351",9.7,"2%","64 : 36"
"1217","1201+","Akdeniz University","41,824",28.1,"3%","38 : 62"
"1218","1201+","Akita University","4,970",10.3,"3%","36 : 64"
"1219","1201+","Aksaray University","21,939",27.3,"7%","46 : 54"
"1220","1201+","Alexandru Ioan Cuza University","24,047",21.5,"7%","63 : 37"
"1221","1201+","Al-Farabi Kazakh National University","23,253",5,"15%","58 : 42"
"1222","1201+","University of Alicante","24,760",16.1,"9%","58 : 42"
"1223","1201+","Alzahra University","9,738",22.1,"1%","100 : 0"
"1224","1201+","Amity University","31,059",14.5,"6%","49 : 51"
"1225","1201+","Anadolu University","29,612",22.9,"4%","50 : 50"
"1226","1201+","University of the Andes, Venezuela","25,198",10.7,"2%","60 : 40"
"1227","1201+","Andhra University","9,048",13.2,"6%","49 : 51"
"1228","1201+","Universidad Andres Bello (UNAB)","42,408",18.3,"2%","54 : 46"
"1229","1201+","Ankara University","68,578",15.8,"5%","52 : 48"
"1230","1201+","Annamalai University","16,582",10.9,"2%","50 : 50"
"1231","1201+","Aoyama Gakuin University","19,275",11.8,"4%","50 : 50"
"1232","1201+","Arab Academy for Science, Technology and Maritime Transport","27,395",12.5,"4%","26 : 74"
"1233","1201+","Arak University","6,680",22.3,"2%","56 : 44"
"1234","1201+","Ariel University","13,004",22.8,"0%","43 : 57"
"1235","1201+","Austral University of Chile","16,886",17.8,"2%","52 : 48"
"1236","1201+","Universidad Autonoma del Estado de Hidalgo","37,188",18.7,"1%","57 : 43"
"1237","1201+","Universidad Autonoma del Estado de Mexico (UAEMex)","63,490",12.4,"0%","58 : 42"
"1238","1201+","Universidad Autonoma del Estado de Morelos","27,141",14.5,"0%","55 : 45"
"1239","1201+","Universidad Autonoma de Nuevo Leon (UANL)","123,370",42.9,"1%","50 : 50"
"1240","1201+","Universidad Autonoma de Queretaro","23,966",42.4,"1%","56 : 44"
"1241","1201+","Universidad Autonoma de Yucatan","17,401",14.1,"0%","50 : 50"
"1242","1201+","Autonomous University of Baja California","65,528",21.8,"2%","53 : 47"
"1243","1201+","Autonomous University of Sinaloa","83,516",24.6,"0%","53 : 47"
"1244","1201+","Badji Mokhtar University ¡V Annaba","46,884",16.1,"1%","51 : 49"
"1245","1201+","University of Baghdad","69,750",11,"0%","57 : 43"
"1246","1201+","Bahauddin Zakariya University","30,872",37.6,"0%","40 : 60"
"1247","1201+","Baku State University","22,039",17.2,"2%","70 : 30"
"1248","1201+","Banasthali University","10,387",17.5,"5%","98 : 2"
"1249","1201+","Bangladesh University of Engineering and Technology","5,941",12.9,"0%","22 : 78"
"1250","1201+","Bashkir State University","14,605",13.4,"3%","60 : 40"
"1251","1201+","Ba<U+015F>kent University","13,545",12.7,"2%","59 : 41"
"1252","1201+","University of Basrah","42,808",15.3,"0%","57 : 43"
"1253","1201+","University of Bejaia","41,728",24.3,"1%","61 : 39"
"1254","1201+","Belarusian State University","24,684",7.8,"14%","61 : 39"
"1255","1201+","Belgorod State National Research University","13,290",14.8,"18%","63 : 37"
"1256","1201+","Benemerita Universidad Autonoma de Puebla","79,502",44.3,"0%","53 : 47"
"1257","1201+","BINUS University","15,287",13.9,"4%","42 : 58"
"1258","1201+","University of Bio-Bio","12,933",25.7,"1%","43 : 57"
"1259","1201+","University of Birjand","12,059",24.1,"2%","53 : 47"
"1260","1201+","University of Biskra","33,639",23.8,"1%","64 : 36"
"1261","1201+","Blida 1 University","32,458",22.4,"1%","62 : 38"
"1262","1201+","Bolu Abant Izzet Baysal University","22,855",22.7,"2%","56 : 44"
"1263","1201+","University of Botswana","12,975",17.1,"4%","58 : 42"
"1264","1201+","University of Brawijaya","50,677",16.7,"1%","55 : 45"
"1265","1201+","Brno University of Technology","17,671",16.8,"22%","29 : 71"
"1266","1201+","Bu-Ali Sina University","11,049",25.3,"1%","55 : 45"
"1267","1201+","University of Bucharest","30,096",51.7,"2%","71 : 29"
"1268","1201+","Budapest University of Technology and Economics","19,351",17.5,"12%","31 : 69"
"1269","1201+","Burapha University","33,104",23.1,"1%","63 : 37"
"1270","1201+","University of Burgos","7,504",13.6,"4%","47 : 53"
"1271","1201+","Bursa Uluda<U+011F> University","34,973",21.9,"10%","53 : 47"
"1272","1201+","University of Calcutta","19,004",24.6,"1%","60 : 40"
"1273","1201+","University of Carthage","28,985",9.4,"1%","66 : 34"
"1274","1201+","Catholic University of the North","11,359",17.3,"2%","46 : 54"
"1275","1201+","University of Caxias do Sul","14,389",25.3,"0%","53 : 47"
"1276","1201+","Ceara State University","15,719",13.2,"0%","49 : 51"
"1277","1201+","Chaoyang University of Technology","15,858",40.6,"6%","55 : 45"
"1278","1201+","University of Chemistry and Technology, Prague","3,842",8.5,"23%","60 : 40"
"1279","1201+","University of Chester","10,740",18.3,"13%","68 : 32"
"1280","1201+","Chiba Institute of Technology","9,981",23.3,"2%","14 : 86"
"1281","1201+","Chubu University","11,974",22.1,"2%","26 : 74"
"1282","1201+","Chungbuk National University","17,669",13.9,"6%","44 : 56"
"1283","1201+","Chuo University","25,729",37.3,"4%","37 : 63"
"1284","1201+","Cochin University of Science and Technology","3,545",17.3,"1%","58 : 42"
"1285","1201+","University of Colorado Colorado Springs","12,807",22,"2%","54 : 46"
"1286","1201+","Comillas Pontifical University","10,003",21.8,"6%","54 : 46"
"1287","1201+","Corvinus University of Budapest","12,722",26.7,"20%","54 : 46"
"1288","1201+","Cracow University of Technology","13,092",12.1,"2%","38 : 62"
"1289","1201+","Cukurova University","42,177",18.6,"4%","46 : 54"
"1290","1201+","Damghan University","4,706",27.7,"0%","62 : 38"
"1291","1201+","University of Dar es Salaam","34,259",20.5,"0%","43 : 57"
"1292","1201+","De La Salle University","12,386",15.3,"3%","49 : 51"
"1293","1201+","Del Rosario University","10,487",11.8,"2%","60 : 40"
"1294","1201+","Democritus University of Thrace","28,311",46.6,"2%","55 : 45"
"1295","1201+","Dicle University","26,024",15.8,"2%","41 : 59"
"1296","1201+","Diponegoro University","38,567",13.7,"2%","56 : 44"
"1297","1201+","Dokkyo Medical University","1,352",1.3,"1%","52 : 48"
"1298","1201+","Dokuz Eylul University","58,563",18.3,"2%","47 : 53"
"1299","1201+","Doshisha University","28,074",18.6,"4%","42 : 58"
"1300","1201+","Dumlupinar University","45,945",48.8,"2%","42 : 58"
"1301","1201+","Dunarea de Jos University of Galati","12,570",16.3,"22%","57 : 43"
"1302","1201+","EAFIT University","14,890",24.6,"3%","45 : 55"
"1303","1201+","Prague University of Economics and Business","13,685",27.2,"22%","52 : 48"
"1304","1201+","Ege University","46,825",26.7,"2%","50 : 50"
"1305","1201+","Ehime University","9,267",13.4,"2%","38 : 62"
"1306","1201+","The University of Electro-Communications","4,745",15.7,"6%","12 : 88"
"1307","1201+","University of Engineering & Technology (UET) Lahore","13,377",13.1,"3%","24 : 76"
"1308","1201+","Erciyes University","47,075",34.5,"3%","47 : 53"
"1309","1201+","Erzincan Binali Y<U+0131>ld<U+0131>r<U+0131>m University","14,053",23.6,"1%","51 : 49"
"1310","1201+","Escuela Politecnica Nacional","7,207",12.2,"1%","30 : 70"
"1311","1201+","Escuela Superior Politecnica del Litoral","11,522",11.9,"1%","37 : 63"
"1312","1201+","Eski<U+015F>ehir Osmangazi University","31,086",20.1,"3%","42 : 58"
"1313","1201+","Universidade do Estado do Rio de Janeiro (UERJ)","22,427",8.8,"0%","55 : 45"
"1314","1201+","Universidade do Estado de Santa Catarina","11,718",11.3,"1%","50 : 50"
"1315","1201+","Universidade Estadual de Maringa","20,594",10.8,"1%","56 : 44"
"1316","1201+","Universidade Estadual do Oeste do Parana (Unioeste)","12,689",10.8,"0%","53 : 47"
"1317","1201+","Far Eastern Federal University","15,850",11.3,"21%","n/a"
"1318","1201+","Universidade Federal da Bahia","44,829",17.5,"0%","41 : 59"
"1319","1201+","Universidade Federal do Ceara (UFC)","36,593",15.6,"1%","45 : 55"
"1320","1201+","Universidade Federal de Ciencias da Saude de Porto Alegre (UFCSPA)","4,996",14.1,"2%","68 : 32"
"1321","1201+","Universidade Federal do Triangulo Mineiro","6,404",12.3,"0%","53 : 47"
"1322","1201+","Federal University of Espirito Santo","23,782",13.3,"1%","53 : 47"
"1323","1201+","Federal University of Goias","31,274",15.1,"0%","52 : 48"
"1324","1201+","Universidade Federal da Grande Dourados","7,805",13.1,"0%","n/a"
"1325","1201+","Federal University of Itajuba","8,264",15.5,"1%","29 : 71"
"1326","1201+","Universidade Federal de Juiz de Fora","21,068",15.7,"1%","57 : 43"
"1327","1201+","Federal University of Lavras","14,034",17.3,"1%","52 : 48"
"1328","1201+","Universidade Federal do Maranhao (UFMA)","30,123",15.5,"0%","54 : 46"
"1329","1201+","Federal University of Mato Grosso do Sul","25,972",16.4,"1%","55 : 45"
"1330","1201+","Universidade Federal de Ouro Preto (UFOP)","13,861",15.2,"1%","50 : 50"
"1331","1201+","Federal University of Para","44,614",16.2,"0%","51 : 49"
"1332","1201+","Universidade Federal do Parana (UFPR)","33,604",13.2,"0%","63 : 37"
"1333","1201+","Federal University of Pernambuco","40,890",15.7,"1%","50 : 50"
"1334","1201+","Federal University of Piaui","50,150",23.7,"0%","n/a"
"1335","1201+","Federal University of Rio Grande do Norte (UFRN)","36,910",15.5,"0%","45 : 55"
"1336","1201+","Federal Rural University of Pernambuco","17,704",14,"0%","51 : 49"
"1337","1201+","Universidade Federal Rural do Semi-Arido","7,276",10.6,"0%","46 : 54"
"1338","1201+","Federal University of Santa Maria","28,337",17.7,"0%","54 : 46"
"1339","1201+","Federal University of Tocantins","16,713",15.1,"0%","48 : 52"
"1340","1201+","Federal University of Uberlandia","30,236",16,"1%","51 : 49"
"1341","1201+","Federal University of Vales do Jequitinhonha e Mucuri","9,772",11.9,"0%","61 : 39"
"1342","1201+","Federal University of Vicosa","18,394",15.3,"1%","50 : 50"
"1343","1201+","Federico Santa Maria Technical University","19,291",25.7,"4%","25 : 75"
"1344","1201+","Feng Chia University","19,510",22.7,"8%","38 : 62"
"1345","1201+","Fluminense Federal University","53,054",14.7,"1%","46 : 54"
"1346","1201+","Universite Freres Mentouri Constantine 1","34,861",20.9,"1%","58 : 42"
"1347","1201+","Universidad de las Fuerzas Armadas ¡V ESPE","21,204",16.3,"0%","36 : 64"
"1348","1201+","University of Fukui","5,005",7.9,"5%","30 : 70"
"1349","1201+","Fukuoka University","19,782",10.5,"1%","40 : 60"
"1350","1201+","Universitas Gadjah Mada","39,477",8.2,"5%","56 : 44"
"1351","1201+","Gazi University","40,657",20,"2%","49 : 51"
"1352","1201+","Gaziantep University","35,667",44.5,"11%","45 : 55"
"1353","1201+","University of Gda<U+0144>sk","19,870",20.1,"3%","68 : 32"
"1354","1201+","Gebze Technical University","7,551",22.2,"2%","40 : 60"
"1355","1201+","George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures","8,892",16.3,"9%","59 : 41"
"1356","1201+","German University in Cairo","13,081",13.9,"1%","48 : 52"
"1357","1201+","Gheorghe Asachi Technical University of Ia<U+015F>i","13,442",20.9,"7%","30 : 70"
"1358","1201+","Gifu University","7,189",7.5,"4%","37 : 63"
"1359","1201+","GITAM University","20,945",13.4,"1%","36 : 64"
"1360","1201+","Government College University Lahore","10,715",18.2,"1%","40 : 60"
"1361","1201+","Grand Valley State University","21,482",15.5,"1%","61 : 39"
"1362","1201+","Grigore T. Popa University of Medicine and Pharmacy","9,568",11.1,"26%","67 : 33"
"1363","1201+","University of Guadalajara","130,243",58,"0%","53 : 47"
"1364","1201+","University of Guanajuato","27,818",19.8,"3%","54 : 46"
"1365","1201+","Gubkin Russian State University of Oil and Gas","9,789",12.6,"8%","55 : 45"
"1366","1201+","Gunma University","6,288",7.6,"4%","38 : 62"
"1367","1201+","Gyeongsang National University","13,502",13.1,"4%","45 : 55"
"1368","1201+","Hakim Sabzevari University","7,835",19.6,"3%","57 : 43"
"1369","1201+","Hallym University","8,663",10.3,"5%","n/a"
"1370","1201+","Hanoi University of Science and Technology","32,222",27.9,"1%","24 : 76"
"1371","1201+","Hasanuddin University","31,558",15.5,"1%","62 : 38"
"1372","1201+","The Hashemite University","16,987",30.9,"6%","62 : 38"
"1373","1201+","Universite Hassan 1er","42,623",58.3,"3%","52 : 48"
"1374","1201+","Universite Hassan II de Casablanca","122,959",36.3,"2%","52 : 48"
"1375","1201+","University of Havana","15,157",8.9,"5%","63 : 37"
"1376","1201+","Hellenic Open University","20,256",7.1,"1%","63 : 37"
"1377","1201+","Helwan University","122,967",18.8,"2%","53 : 47"
"1378","1201+","Hosei University","30,662",40.9,"3%","38 : 62"
"1379","1201+","University of Hradec Kralove","6,344",12.2,"2%","65 : 35"
"1380","1201+","University of Hyogo","6,544",12.7,"3%","41 : 59"
"1381","1201+","Ibaraki University","7,916",14.4,"3%","36 : 64"
"1382","1201+","Ilia State University","16,866",11.3,"2%","62 : 38"
"1383","1201+","Immanuel Kant Baltic Federal University","7,306",9.3,"12%","62 : 38"
"1384","1201+","Universidad Industrial de Santander (UIS)","20,968",13.5,"1%","45 : 55"
"1385","1201+","Instituto Politecnico Nacional (IPN)","120,639",11.3,"0%","40 : 60"
"1386","1201+","IPB University","22,499",7.7,"3%","46 : 54"
"1387","1201+","Irkutsk State University","13,039",13.5,"5%","68 : 32"
"1388","1201+","I-Shou University","12,229",28.6,"16%","50 : 50"
"1389","1201+","Istanbul Medipol University","21,056",19,"6%","66 : 34"
"1390","1201+","Ivane Javakhishvili Tbilisi State University","21,081",26.3,"3%","61 : 39"
"1391","1201+","Ivan Franko National University of Lviv","18,895",10.3,"1%","65 : 35"
"1392","1201+","Ivanovo State University of Chemistry and Technology","3,740",19,"6%","48 : 52"
"1393","1201+","Iwate University","5,382",13.6,"3%","38 : 62"
"1394","1201+","Izmir Institute of Technology","5,342",18.9,"3%","46 : 54"
"1395","1201+","Jan Evangelista Purkyn<U+011B> University","7,394",17.8,"3%","68 : 32"
"1396","1201+","Jawaharlal Nehru Technological University Anantapur (JNTUA)","5,811",16.7,"0%","42 : 58"
"1397","1201+","Jean Moulin University ¡V Lyon 3","29,617",41.9,"21%","65 : 35"
"1398","1201+","Jeju National University","12,015",18.9,"6%","52 : 48"
"1399","1201+","Kagawa University","6,366",9.5,"2%","42 : 58"
"1400","1201+","Kagoshima University","10,477",10,"2%","37 : 63"
"1401","1201+","Kanagawa University","18,137",15.3,"4%","29 : 71"
"1402","1201+","Kanazawa Medical University","1,141",2.3,"2%","53 : 47"
"1403","1201+","Kangwon National University","22,420",22.3,"3%","41 : 59"
"1404","1201+","Kansai University","30,635",11.4,"3%","40 : 60"
"1405","1201+","University of Karachi","43,770",50.7,"0%","55 : 45"
"1406","1201+","Karadeniz Technical University","38,630",18.3,"4%","44 : 56"
"1407","1201+","Kasetsart University","67,633",19.4,"1%","63 : 37"
"1408","1201+","Kaunas University of Technology","9,060",14.7,"8%","35 : 65"
"1409","1201+","Kazan National Research Technical University","6,995",12.5,"13%","26 : 74"
"1410","1201+","Kazan National Research Technological University","13,685",12.9,"15%","43 : 57"
"1411","1201+","Kharazmi University","12,118",15.4,"2%","54 : 46"
"1412","1201+","Khon Kaen University","35,729",19.4,"2%","58 : 42"
"1413","1201+","King Mongkut¡¦s Institute of Technology Ladkrabang","23,619",22,"1%","54 : 46"
"1414","1201+","King Mongkut's University of Technology North Bangkok","27,685",24.6,"0%","43 : 57"
"1415","1201+","Kitasato University","8,604",5.3,"1%","54 : 46"
"1416","1201+","Kocaeli University","71,135",49.1,"2%","41 : 59"
"1417","1201+","Kochi University","5,439",8.1,"1%","44 : 56"
"1418","1201+","Kochi University of Technology","2,579",20.3,"2%","23 : 77"
"1419","1201+","Kogakuin University","6,218",17.6,"1%","19 : 81"
"1420","1201+","Kookmin University","17,796",13.4,"11%","49 : 51"
"1421","1201+","Universiti Kuala Lumpur","15,715",12.2,"3%","41 : 59"
"1422","1201+","Kunming University of Science and Technology","44,330",18.4,"2%","36 : 64"
"1423","1201+","Kwansei Gakuin University","25,641",24.9,"3%","49 : 51"
"1424","1201+","Kyoto Sangyo University","11,804",20.8,"2%","32 : 68"
"1425","1201+","Kyoto Institute of Technology","3,970",13.4,"5%","28 : 72"
"1426","1201+","Kyushu Institute of Technology (Kyutech)","5,649",16.2,"5%","13 : 87"
"1427","1201+","Latvia University of Life Sciences and Technologies","3,845",23.1,"3%","50 : 50"
"1428","1201+","University of Lethbridge","6,989",12.7,"11%","n/a"
"1429","1201+","L.N. Gumilyov Eurasian National University","19,357",17.4,"4%","53 : 47"
"1430","1201+","Lobachevsky State University of Nizhni Novgorod","17,324",7.4,"12%","55 : 45"
"1431","1201+","University of <U+0141>od<U+017A>","23,428",17.4,"10%","63 : 37"
"1432","1201+","Lodz University of Technology","13,817",18.3,"4%","39 : 61"
"1433","1201+","Londrina State University","24,047",13.8,"1%","58 : 42"
"1434","1201+","University of Lucknow","16,419",36.9,"0%","50 : 50"
"1435","1201+","Lumiere University, Lyon 2","25,550",49.7,"17%","67 : 33"
"1436","1201+","Mackenzie Presbyterian University","28,426",28.3,"0%","50 : 50"
"1437","1201+","Maharaja Sayajirao University of Baroda","28,314",47.9,"0%","54 : 46"
"1438","1201+","Mahasarakham University","41,162",32.7,"1%","67 : 33"
"1439","1201+","Universiti Malaysia Sarawak (UNIMAS)","14,365",18.3,"8%","72 : 28"
"1440","1201+","Maria Curie-Sk<U+0142>odowska University (UMCS)","19,059",13.1,"9%","68 : 32"
"1441","1201+","Marmara University","70,356",35.3,"4%","50 : 50"
"1442","1201+","University of Marrakech Cadi Ayyad","105,895",45,"1%","47 : 53"
"1443","1201+","Matej Bel University","6,712",14.7,"7%","67 : 33"
"1444","1201+","Meiji University","33,357",11.7,"5%","35 : 65"
"1445","1201+","Meijo University","15,374",31.3,"1%","32 : 68"
"1446","1201+","Mendel University in Brno","8,413",16.2,"19%","57 : 43"
"1447","1201+","M¡¦Hamed Bougara University of Boumerdes","32,159",21.8,"1%","60 : 40"
"1448","1201+","Universidad Michoacana de San Nicolas de Hidalgo","40,012",27.9,"1%","53 : 47"
"1449","1201+","Mie University","7,237",8.4,"4%","38 : 62"
"1450","1201+","Ming Chuan University","18,254",22.2,"11%","60 : 40"
"1451","1201+","MIREA - Russian Technological University","23,455",20.5,"5%","30 : 70"
"1452","1201+","University of Miskolc","9,069",16.3,"4%","48 : 52"
"1453","1201+","University of Miyazaki","5,444",7.4,"3%","35 : 65"
"1454","1201+","University of Mohamed Boudiaf at M¡¦Sila","35,290",23.9,"0%","58 : 42"
"1455","1201+","Mohammed V University of Rabat","81,649",39.9,"3%","52 : 48"
"1456","1201+","University of Monastir","18,762",9.4,"2%","69 : 31"
"1457","1201+","University of Montenegro","17,014",24.1,"2%","48 : 52"
"1458","1201+","Moscow Aviation Institute","15,391",12.8,"10%","29 : 71"
"1459","1201+","Moscow Polytechnic University","10,740",12.9,"13%","42 : 58"
"1460","1201+","Moscow Power Engineering Institute","14,356",21,"12%","33 : 67"
"1461","1201+","Multimedia University","8,586",10.7,"9%","46 : 54"
