rank,University,Total Students,student staff ratio,pc of int'l students,female:male ratio
1201+,Prague University of Economics and Business,"13,685",27.2,22%,52 : 48
1201+,Ege University,"46,825",26.7,2%,50 : 50
1201+,Ehime University,"9,267",13.4,2%,38 : 62
1201+,The University of Electro-Communications,"4,745",15.7,6%,12 : 88
1201+,University of Engineering & Technology (UET) Lahore,"13,377",13.1,3%,24 : 76
1201+,Erciyes University,"47,075",34.5,3%,47 : 53
1201+,Erzincan Binali Y<U+0131>ld<U+0131>r<U+0131>m University,"14,053",23.6,1%,51 : 49
1201+,Escuela Politecnica Nacional,"7,207",12.2,1%,30 : 70
1201+,Escuela Superior Politecnica del Litoral,"11,522",11.9,1%,37 : 63
1201+,Eski<U+015F>ehir Osmangazi University,"31,086",20.1,3%,42 : 58
1201+,Universidade do Estado do Rio de Janeiro (UERJ),"22,427",8.8,0%,55 : 45
1201+,Universidade do Estado de Santa Catarina,"11,718",11.3,1%,50 : 50
1201+,Universidade Estadual de Maringa,"20,594",10.8,1%,56 : 44
1201+,Universidade Estadual do Oeste do Parana (Unioeste),"12,689",10.8,0%,53 : 47
1201+,Far Eastern Federal University,"15,850",11.3,21%,
1201+,Universidade Federal da Bahia,"44,829",17.5,0%,41 : 59
1201+,Universidade Federal do Ceara (UFC),"36,593",15.6,1%,45 : 55
1201+,Universidade Federal de Ciencias da Saude de Porto Alegre (UFCSPA),"4,996",14.1,2%,68 : 32
1201+,Universidade Federal do Triangulo Mineiro,"6,404",12.3,0%,53 : 47
1201+,Federal University of Espirito Santo,"23,782",13.3,1%,53 : 47
1201+,Federal University of Goias,"31,274",15.1,0%,52 : 48
1201+,Universidade Federal da Grande Dourados,"7,805",13.1,0%,
1201+,Federal University of Itajuba,"8,264",15.5,1%,29 : 71
1201+,Universidade Federal de Juiz de Fora,"21,068",15.7,1%,57 : 43
1201+,Federal University of Lavras,"14,034",17.3,1%,52 : 48
1201+,Universidade Federal do Maranhao (UFMA),"30,123",15.5,0%,54 : 46
1201+,Federal University of Mato Grosso do Sul,"25,972",16.4,1%,55 : 45
1201+,Universidade Federal de Ouro Preto (UFOP),"13,861",15.2,1%,50 : 50
1201+,Federal University of Para,"44,614",16.2,0%,51 : 49
1201+,Universidade Federal do Parana (UFPR),"33,604",13.2,0%,63 : 37
1201+,Federal University of Pernambuco,"40,890",15.7,1%,50 : 50
1201+,Federal University of Piaui,"50,150",23.7,0%,
1201+,Federal University of Rio Grande do Norte (UFRN),"36,910",15.5,0%,45 : 55
1201+,Federal Rural University of Pernambuco,"17,704",14.0,0%,51 : 49
1201+,Universidade Federal Rural do Semi-Arido,"7,276",10.6,0%,46 : 54
1201+,Federal University of Santa Maria,"28,337",17.7,0%,54 : 46
1201+,Federal University of Tocantins,"16,713",15.1,0%,48 : 52
1201+,Federal University of Uberlandia,"30,236",16.0,1%,51 : 49
1201+,Federal University of Vales do Jequitinhonha e Mucuri,"9,772",11.9,0%,61 : 39
1201+,Federal University of Vicosa,"18,394",15.3,1%,50 : 50
1201+,Federico Santa Maria Technical University,"19,291",25.7,4%,25 : 75
1201+,Feng Chia University,"19,510",22.7,8%,38 : 62
1201+,Fluminense Federal University,"53,054",14.7,1%,46 : 54
1201+,Universite Freres Mentouri Constantine 1,"34,861",20.9,1%,58 : 42
1201+,Universidad de las Fuerzas Armadas – ESPE,"21,204",16.3,0%,36 : 64
1201+,University of Fukui,"5,005",7.9,5%,30 : 70
1201+,Fukuoka University,"19,782",10.5,1%,40 : 60
1201+,Universitas Gadjah Mada,"39,477",8.2,5%,56 : 44
1201+,Gazi University,"40,657",20.0,2%,49 : 51
1201+,Gaziantep University,"35,667",44.5,11%,45 : 55
1201+,University of Gda<U+0144>sk,"19,870",20.1,3%,68 : 32
1201+,Gebze Technical University,"7,551",22.2,2%,40 : 60
1201+,"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures","8,892",16.3,9%,59 : 41
1201+,German University in Cairo,"13,081",13.9,1%,48 : 52
1201+,Gheorghe Asachi Technical University of Ia<U+015F>i,"13,442",20.9,7%,30 : 70
1201+,Gifu University,"7,189",7.5,4%,37 : 63
1201+,GITAM University,"20,945",13.4,1%,36 : 64
1201+,Government College University Lahore,"10,715",18.2,1%,40 : 60
1201+,Grand Valley State University,"21,482",15.5,1%,61 : 39
1201+,Grigore T. Popa University of Medicine and Pharmacy,"9,568",11.1,26%,67 : 33
1201+,University of Guadalajara,"130,243",58.0,0%,53 : 47
1201+,University of Guanajuato,"27,818",19.8,3%,54 : 46
1201+,Gubkin Russian State University of Oil and Gas,"9,789",12.6,8%,55 : 45
1201+,Gunma University,"6,288",7.6,4%,38 : 62
1201+,Gyeongsang National University,"13,502",13.1,4%,45 : 55
1201+,Hakim Sabzevari University,"7,835",19.6,3%,57 : 43
1201+,Hallym University,"8,663",10.3,5%,
1201+,Hanoi University of Science and Technology,"32,222",27.9,1%,24 : 76
1201+,Hasanuddin University,"31,558",15.5,1%,62 : 38
1201+,The Hashemite University,"16,987",30.9,6%,62 : 38
1201+,Universite Hassan 1er,"42,623",58.3,3%,52 : 48
1201+,Universite Hassan II de Casablanca,"122,959",36.3,2%,52 : 48
1201+,University of Havana,"15,157",8.9,5%,63 : 37
1201+,Hellenic Open University,"20,256",7.1,1%,63 : 37
1201+,Helwan University,"122,967",18.8,2%,53 : 47
1201+,Hosei University,"30,662",40.9,3%,38 : 62
1201+,University of Hradec Kralove,"6,344",12.2,2%,65 : 35
1201+,University of Hyogo,"6,544",12.7,3%,41 : 59
1201+,Ibaraki University,"7,916",14.4,3%,36 : 64
1201+,Ilia State University,"16,866",11.3,2%,62 : 38
1201+,Immanuel Kant Baltic Federal University,"7,306",9.3,12%,62 : 38
1201+,Universidad Industrial de Santander (UIS),"20,968",13.5,1%,45 : 55
1201+,Instituto Politecnico Nacional (IPN),"120,639",11.3,0%,40 : 60
1201+,IPB University,"22,499",7.7,3%,46 : 54
1201+,Irkutsk State University,"13,039",13.5,5%,68 : 32
1201+,I-Shou University,"12,229",28.6,16%,50 : 50
1201+,Istanbul Medipol University,"21,056",19.0,6%,66 : 34
1201+,Ivane Javakhishvili Tbilisi State University,"21,081",26.3,3%,61 : 39
1201+,Ivan Franko National University of Lviv,"18,895",10.3,1%,65 : 35
1201+,Ivanovo State University of Chemistry and Technology,"3,740",19.0,6%,48 : 52
1201+,Iwate University,"5,382",13.6,3%,38 : 62
1201+,Izmir Institute of Technology,"5,342",18.9,3%,46 : 54
1201+,Jan Evangelista Purkyn<U+011B> University,"7,394",17.8,3%,68 : 32
1201+,Jawaharlal Nehru Technological University Anantapur (JNTUA),"5,811",16.7,0%,42 : 58
1201+,Jean Moulin University – Lyon 3,"29,617",41.9,21%,65 : 35
1201+,Jeju National University,"12,015",18.9,6%,52 : 48
1201+,Kagawa University,"6,366",9.5,2%,42 : 58
1201+,Kagoshima University,"10,477",10.0,2%,37 : 63
1201+,Kanagawa University,"18,137",15.3,4%,29 : 71
1201+,Kanazawa Medical University,"1,141",2.3,2%,53 : 47
1201+,Kangwon National University,"22,420",22.3,3%,41 : 59
1201+,Kansai University,"30,635",11.4,3%,40 : 60
1201+,University of Karachi,"43,770",50.7,0%,55 : 45
1201+,Karadeniz Technical University,"38,630",18.3,4%,44 : 56
1201+,Kasetsart University,"67,633",19.4,1%,63 : 37
1201+,Kaunas University of Technology,"9,060",14.7,8%,35 : 65
1201+,Kazan National Research Technical University,"6,995",12.5,13%,26 : 74
1201+,Kazan National Research Technological University,"13,685",12.9,15%,43 : 57
1201+,Kharazmi University,"12,118",15.4,2%,54 : 46
1201+,Khon Kaen University,"35,729",19.4,2%,58 : 42
1201+,King Mongkut’s Institute of Technology Ladkrabang,"23,619",22.0,1%,54 : 46
1201+,King Mongkut's University of Technology North Bangkok,"27,685",24.6,0%,43 : 57
1201+,Kitasato University,"8,604",5.3,1%,54 : 46
1201+,Kocaeli University,"71,135",49.1,2%,41 : 59
1201+,Kochi University,"5,439",8.1,1%,44 : 56
1201+,Kochi University of Technology,"2,579",20.3,2%,23 : 77
1201+,Kogakuin University,"6,218",17.6,1%,19 : 81
1201+,Kookmin University,"17,796",13.4,11%,49 : 51
1201+,Universiti Kuala Lumpur,"15,715",12.2,3%,41 : 59
1201+,Kunming University of Science and Technology,"44,330",18.4,2%,36 : 64
1201+,Kwansei Gakuin University,"25,641",24.9,3%,49 : 51
1201+,Kyoto Sangyo University,"11,804",20.8,2%,32 : 68
1201+,Kyoto Institute of Technology,"3,970",13.4,5%,28 : 72
1201+,Kyushu Institute of Technology (Kyutech),"5,649",16.2,5%,13 : 87
1201+,Latvia University of Life Sciences and Technologies,"3,845",23.1,3%,50 : 50
1201+,University of Lethbridge,"6,989",12.7,11%,
1201+,L.N. Gumilyov Eurasian National University,"19,357",17.4,4%,53 : 47
1201+,Lobachevsky State University of Nizhni Novgorod,"17,324",7.4,12%,55 : 45
1201+,University of <U+0141>od<U+017A>,"23,428",17.4,10%,63 : 37
1201+,Lodz University of Technology,"13,817",18.3,4%,39 : 61
1201+,Londrina State University,"24,047",13.8,1%,58 : 42
1201+,University of Lucknow,"16,419",36.9,0%,50 : 50
1201+,"Lumiere University, Lyon 2","25,550",49.7,17%,67 : 33
1201+,Mackenzie Presbyterian University,"28,426",28.3,0%,50 : 50
1201+,Maharaja Sayajirao University of Baroda,"28,314",47.9,0%,54 : 46
1201+,Mahasarakham University,"41,162",32.7,1%,67 : 33
1201+,Universiti Malaysia Sarawak (UNIMAS),"14,365",18.3,8%,72 : 28
1201+,Maria Curie-Sk<U+0142>odowska University (UMCS),"19,059",13.1,9%,68 : 32
1201+,Marmara University,"70,356",35.3,4%,50 : 50
1201+,University of Marrakech Cadi Ayyad,"105,895",45.0,1%,47 : 53
1201+,Matej Bel University,"6,712",14.7,7%,67 : 33
1201+,Meiji University,"33,357",11.7,5%,35 : 65
1201+,Meijo University,"15,374",31.3,1%,32 : 68
1201+,Mendel University in Brno,"8,413",16.2,19%,57 : 43
1201+,M’Hamed Bougara University of Boumerdes,"32,159",21.8,1%,60 : 40
1201+,Universidad Michoacana de San Nicolas de Hidalgo,"40,012",27.9,1%,53 : 47
1201+,Mie University,"7,237",8.4,4%,38 : 62
1201+,Ming Chuan University,"18,254",22.2,11%,60 : 40
1201+,MIREA - Russian Technological University,"23,455",20.5,5%,30 : 70
1201+,University of Miskolc,"9,069",16.3,4%,48 : 52
1201+,University of Miyazaki,"5,444",7.4,3%,35 : 65
1201+,University of Mohamed Boudiaf at M’Sila,"35,290",23.9,0%,58 : 42
1201+,Mohammed V University of Rabat,"81,649",39.9,3%,52 : 48
1201+,University of Monastir,"18,762",9.4,2%,69 : 31
1201+,University of Montenegro,"17,014",24.1,2%,48 : 52
1201+,Moscow Aviation Institute,"15,391",12.8,10%,29 : 71
1201+,Moscow Polytechnic University,"10,740",12.9,13%,42 : 58
1201+,Moscow Power Engineering Institute,"14,356",21.0,12%,33 : 67
1201+,Multimedia University,"8,586",10.7,9%,46 : 54
1201+,Muroran Institute of Technology,"3,381",19.7,5%,13 : 87
1201+,Mustansiriyah University,"39,567",8.4,0%,52 : 48
1201+,University of Mysore,"7,890",21.9,10%,41 : 59
1201+,Universidad Nacional del Litoral,"45,337",32.8,0%,60 : 40
1201+,Universidad Nacional Mayor de San Marcos,"35,437",22.8,1%,43 : 57
1201+,Nagaoka University of Technology,"2,271",11.0,13%,11 : 89
1201+,Nagoya City University,"4,471",7.4,2%,52 : 48
1201+,Nagoya Institute of Technology,"5,735",16.4,4%,16 : 84
1201+,Nara Medical University,"1,278",3.3,0%,45 : 55
1201+,Naresuan University,"19,284",13.0,1%,64 : 36
1201+,National Changhua University of Education,"8,385",23.2,10%,53 : 47
1201+,National Chiayi University,"12,094",24.2,3%,48 : 52
1201+,National Chi Nan University,"5,896",14.9,11%,54 : 46
1201+,National Chin-Yi University of Technology,"7,342",24.5,5%,31 : 69
1201+,National Chung Cheng University,"11,320",19.9,5%,44 : 56
1201+,National Chung Hsing University,"15,043",16.3,6%,41 : 59
1201+,National University of Cordoba,"120,292",18.7,2%,62 : 38
1201+,National University of Cuyo,"38,389",7.7,3%,74 : 26
1201+,National Ilan University,"5,419",23.2,3%,35 : 65
1201+,National University of Kaohsiung,"5,663",23.8,4%,40 : 60
1201+,National Research University of Electronic Technology (MIET),"4,468",8.8,8%,28 : 72
1201+,National Research Saratov State University,"9,746",9.1,11%,59 : 41
1201+,National University of the South,"28,364",9.7,1%,58 : 42
1201+,National Taipei University,"8,349",16.3,5%,54 : 46
1201+,National Taiwan Ocean University,"8,838",21.2,8%,32 : 68
1201+,National Technical University Kharkiv Polytechnic Institute,"11,403",8.0,10%,31 : 69
1201+,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,"21,170",8.0,3%,30 : 70
1201+,National United University,"7,457",20.5,2%,33 : 67
1201+,Necmettin Erbakan University,"20,399",9.9,4%,44 : 56
1201+,University of Nigeria Nsukka,"36,223",12.2,1%,48 : 52
1201+,Slovak University of Agriculture in Nitra,"5,326",12.7,3%,53 : 47
1201+,University of North Carolina Wilmington,"15,498",19.5,2%,63 : 37
1201+,"University of the North, Colombia","14,690",19.5,2%,51 : 49
1201+,North-Eastern Federal University,"12,498",11.6,5%,56 : 44
1201+,Nosov Magnitogorsk State Technical University,"8,505",14.7,4%,45 : 55
1201+,Universidade Nove de Julho (Uninove),"84,156",21.1,1%,58 : 42
1201+,University of Novi Sad,"48,529",16.3,2%,56 : 44
1201+,Novosibirsk State Technical University,"11,426",10.7,22%,50 : 50
1201+,Obafemi Awolowo University,"32,830",24.8,0%,44 : 56
1201+,Ochanomizu University,"2,778",15.1,5%,100 : 0
1201+,Oita University,"5,596",8.8,2%,37 : 63
1201+,Omsk State Technical University,"16,048",15.1,13%,37 : 63
1201+,Ondokuz Mayis University,"52,874",25.3,10%,44 : 56
1201+,University of Oradea,"15,088",17.2,7%,55 : 45
1201+,Osaka City University,"8,141",8.4,3%,37 : 63
1201+,Osaka Institute of Technology,"7,158",26.1,1%,13 : 87
1201+,Osaka Medical College,"1,223",2.7,0%,51 : 49
1201+,Osaka Prefecture University,"7,724",12.0,4%,36 : 64
1201+,University of Ostrava,"8,570",16.8,10%,70 : 30
1201+,Universitas Padjadjaran,"37,497",14.0,2%,59 : 41
1201+,University of Pardubice,"7,329",13.6,8%,56 : 44
1201+,Paris Nanterre University,"34,252",37.1,17%,63 : 37
1201+,University of Passo Fundo (UPF),"12,991",24.2,0%,58 : 42
1201+,University of Pau and Pays de l’Adour,"13,620",15.1,15%,52 : 48
1201+,Pavlov First Saint Petersburg State Medical University,"6,762",7.7,13%,71 : 29
1201+,Perm National Research Polytechnic University,"8,488",9.0,9%,31 : 69
1201+,Perm State University,"9,383",11.5,3%,60 : 40
1201+,University of Pernambuco,"18,556",17.2,0%,43 : 57
1201+,Pirogov Russian National Research Medical University,"8,468",6.4,6%,72 : 28
1201+,PMAS Arid Agriculture University Rawalpindi,"10,924",43.7,0%,37 : 63
1201+,Universidad Politecnica Salesiana,"24,420",28.2,1%,40 : 60
1201+,Polytechnic University of Bucharest,"29,970",23.8,3%,36 : 64
1201+,Polytechnic University of Timi<U+015F>oara,"12,715",20.2,2%,39 : 61
1201+,Pontifical Catholic University of Minas Gerais,"39,904",31.2,1%,56 : 44
1201+,Universidad Pontificia Bolivariana (UPB),"12,539",11.5,2%,56 : 44
1201+,Port Said University,"22,163",24.9,0%,47 : 53
1201+,Pozna<U+0144> University of Technology,"15,506",12.1,4%,31 : 69
1201+,Prince of Songkla University,"35,735",14.3,2%,66 : 34
1201+,Privolzhsky Research Medical University,"4,502",6.9,19%,72 : 28
1201+,PSG College of Technology,"8,734",14.3,0%,38 : 62
1201+,Purdue University Northwest,"8,518",15.1,6%,55 : 45
1201+,Qassim University,"48,543",11.7,5%,62 : 38
1201+,Razi University,"11,711",25.6,2%,59 : 41
1201+,Recep Tayyip Erdo<U+011F>an University,"13,054",20.7,3%,51 : 49
1201+,Ritsumeikan University,"34,870",17.6,8%,
1201+,Russian Presidential Academy of National Economy and Public Administration,"15,668",8.8,5%,57 : 43
1201+,Ryukoku University,"15,907",27.7,2%,37 : 63
1201+,University of the Ryukyus,"7,593",9.8,2%,38 : 62
1201+,Rzeszow University of Technology,"12,417",14.7,1%,8 : 92
1201+,University of La Sabana,"11,860",16.8,4%,58 : 42
1201+,Saga University,"6,656",9.7,3%,40 : 60
1201+,Saitama University,"8,453",15.1,6%,33 : 67
1201+,Sakarya University,"42,557",27.0,6%,50 : 50
1201+,Samara National Research University (Samara University),"9,591",10.9,17%,49 : 51
1201+,Samara State Technical University,"13,940",15.8,4%,38 : 62
1201+,San Sebastian University,"19,698",10.3,0%,62 : 38
1201+,"University of Santiago, Chile (USACH)","25,051",25.2,3%,42 : 58
1201+,Sapporo Medical University,"1,281",3.2,0%,45 : 55
1201+,Satbayev University,"9,558",14.6,2%,37 : 63
1201+,Sathyabama Institute of Science and Technology,"13,024",12.3,2%,46 : 54
1201+,University of Science and Technology of Oran Mohamed-Boudiaf,"20,966",12.5,1%,49 : 51
1201+,Universitas Sebelas Maret,"27,681",18.7,1%,63 : 37
1201+,Selcuk University,"47,190",18.1,4%,50 : 50
1201+,Semnan University of Medical Sciences and Health Services,"3,139",9.0,6%,55 : 45
1201+,Seoul National University of Science and Technology (SeoulTech),"11,495",19.5,8%,35 : 65
1201+,University of Sfax,"29,452",12.6,2%,68 : 32
1201+,Shahed University,"5,630",17.1,0%,49 : 51
1201+,Shahid Bahonar University of Kerman,"14,423",22.0,0%,60 : 40
1201+,Shahid Rajaee Teacher Training University,"10,247",47.7,0%,30 : 70
1201+,Shibaura Institute of Technology Tokyo,"9,041",28.0,6%,18 : 82
1201+,Shimane University,"6,096",7.5,2%,37 : 63
1201+,Shinshu University,"10,774",10.4,4%,32 : 68
1201+,Shizuoka University,"9,960",14.3,4%,29 : 71
1201+,University of Shizuoka,"3,100",11.5,3%,61 : 39
1201+,Showa University,"3,690",1.9,0%,59 : 41
1201+,Siksha ‘O’ Anusandhan,"13,738",9.9,1%,56 : 44
1201+,Silesian University of Technology,"18,585",18.3,3%,33 : 67
1201+,Silpakorn University,"24,465",22.2,1%,69 : 31
1201+,University of Sistan and Baluchestan,"10,440",23.3,1%,52 : 48
1201+,Sivas Cumhuriyet University,"27,549",22.1,1%,50 : 50
1201+,Slovak University of Technology in Bratislava,"10,976",9.6,4%,31 : 69
1201+,Sofia University,"21,332",6.2,7%,68 : 32
1201+,University of Sonora,"32,790",23.8,1%,55 : 45
1201+,Soonchunhyang University,"11,627",18.0,4%,49 : 51
1201+,Soongsil University,"16,211",19.7,11%,45 : 55
1201+,Sophia University,"13,517",11.6,12%,59 : 41
1201+,University of Sousse,"25,385",11.5,2%,68 : 32
1201+,University of South China,"26,710",7.4,2%,45 : 55
1201+,Southern Federal University,"18,309",11.2,12%,53 : 47
1201+,Southwest Petroleum University,"29,397",15.7,2%,19 : 81
1201+,Southwest State University,"6,797",13.4,11%,42 : 58
1201+,Srinakharinwirot University,"25,349",19.2,0%,68 : 32
1201+,SRM Institute of Science and Technology,"52,713",15.8,2%,22 : 78
1201+,State University of Ponta Grossa,"8,576",9.1,0%,54 : 46
1201+,State University of Santa Cruz,"6,622",8.5,1%,48 : 52
1201+,St Petersburg Electrotechnical University (LETI),"8,274",13.1,22%,30 : 70
1201+,Suleyman Demirel University,"41,272",35.7,5%,50 : 50
1201+,Suranaree University of Technology,"14,247",29.3,1%,56 : 44
1201+,Taif University,"44,494",20.7,2%,60 : 40
1201+,University of Talca,"11,367",15.4,1%,51 : 49
1201+,Tamil Nadu Agricultural University,"6,370",8.4,0%,63 : 37
1201+,Tamkang University,"23,154",23.5,8%,49 : 51
1201+,University of Tarapaca,"9,460",31.7,3%,53 : 47
1201+,Taras Shevchenko National University of Kyiv,"23,708",10.2,5%,55 : 45
1201+,Technical University of Cluj-Napoca,"18,618",20.3,2%,38 : 62
1201+,Technical University of Ko<U+0161>ice,"9,325",12.3,18%,27 : 73
1201+,Technical University of Liberec,"5,129",11.5,12%,53 : 47
1201+,Technical University of Loja,"55,781",36.9,1%,56 : 44
1201+,Universidade Tecnologica Federal do Parana (UTFPR),"33,994",13.1,1%,29 : 71
1201+,Universiti Teknikal Malaysia Melaka,"12,869",14.6,6%,39 : 61
1201+,Universiti Teknologi MARA,"55,792",14.7,0%,67 : 33
1201+,Institut Teknologi Sepuluh Nopember,"17,028",12.8,4%,39 : 61
1201+,Telkom University,"18,377",20.1,1%,42 : 58
1201+,Thammasat University,"28,843",11.7,1%,64 : 36
1201+,TOBB University of Economics and Technology,"4,777",13.5,1%,47 : 53
1201+,Toho University,"5,320",13.3,0%,53 : 47
1201+,Tokai University,"28,535",15.2,3%,27 : 73
1201+,Tokat Gaziosmanpa<U+015F>a University,"17,758",13.6,4%,52 : 48
1201+,Tokushima University,"7,643",9.6,3%,35 : 65
1201+,Tokyo University of Agriculture,"12,720",32.7,1%,43 : 57
1201+,Tokyo City University,"7,426",14.8,1%,23 : 77
1201+,Tokyo Denki University,"9,877",27.6,3%,12 : 88
1201+,Tokyo University of Marine Science and Technology,"2,637",10.4,7%,33 : 67
1201+,Tokyo University of Pharmacy and Life Sciences,"3,867",19.3,0%,52 : 48
1201+,Tokyo University of Science,"18,298",25.0,3%,24 : 76
1201+,Tomas Bata University in Zlin,"8,635",19.1,11%,57 : 43
1201+,Tomsk State University of Control Systems and Radioelectronics,"6,234",14.7,16%,32 : 68
1201+,Tottori University,"6,025",7.8,2%,38 : 62
1201+,University of Toyama,"9,125",11.9,4%,40 : 60
1201+,Toyo University,"30,873",24.8,5%,43 : 57
1201+,Toyohashi University of Technology (TUT),"2,015",10.3,12%,11 : 89
1201+,Transilvania University of Bra<U+0219>ov,"18,985",20.4,1%,52 : 48
1201+,Tunghai University,"15,547",21.0,15%,54 : 46
1201+,University of Tyumen,"10,872",14.3,12%,
1201+,Tzu Chi University,"3,492",9.5,11%,62 : 38
1201+,Ufa State Aviation Technical University,"9,277",13.0,3%,36 : 64
1201+,Unisinos University,"11,598",20.8,1%,52 : 48
1201+,Universiti Malaysia Terengganu (UMT),"9,296",16.1,4%,71 : 29
1201+,Universiti Tun Hussein Onn Malaysia (UTHM),"15,741",17.0,5%,47 : 53
1201+,Utsunomiya University,"4,829",14.1,4%,37 : 63
1201+,University of Valladolid,"22,023",11.4,8%,56 : 44
1201+,University of Valparaiso,"17,089",19.0,3%,57 : 43
1201+,"University of Veterinary and Animal Sciences, Lahore","6,796",32.1,0%,49 : 51
1201+,Vietnam National University (Ho Chi Minh City),"75,358",22.7,1%,33 : 67
1201+,V.N. Karazin Kharkiv National University,"17,080",8.5,26%,55 : 45
1201+,Voronezh State University,"15,946",12.1,16%,56 : 44
1201+,VSB - Technical University of Ostrava,"10,988",14.3,12%,34 : 66
1201+,Vytautas Magnus University,"7,328",12.5,20%,59 : 41
1201+,University of Warmia and Mazury in Olsztyn,"18,210",17.7,2%,58 : 42
1201+,Warsaw University of Life Sciences – SGGW,"16,738",14.1,5%,55 : 45
1201+,Warsaw University of Technology,"25,482",18.9,7%,34 : 66
1201+,Western Kentucky University,"14,455",18.0,3%,60 : 40
1201+,Western Michigan University,"18,211",20.1,8%,51 : 49
1201+,West University of Timi<U+015F>oara,"14,329",22.7,6%,65 : 35
1201+,Wroc<U+0142>aw University of Environmental and Life Sciences,"8,359",19.2,5%,68 : 32
1201+,Wroc<U+0142>aw University of Science and Technology,"24,396",19.7,5%,34 : 66
1201+,University of Wroc<U+0142>aw,"20,366",11.2,7%,64 : 36
1201+,Yamagata University,"8,846",8.5,2%,34 : 66
1201+,Yamaguchi University,"10,739",10.8,6%,38 : 62
1201+,University of Yamanashi,"4,679",6.1,4%,30 : 70
1201+,Yanshan University,"36,050",16.4,1%,39 : 61
1201+,Yarmouk University,"34,222",30.7,8%,63 : 37
1201+,Yazd University,"14,112",29.5,2%,57 : 43
1201+,Yeditepe University,"17,610",29.4,4%,53 : 47
1201+,Yokohama National University,"9,805",12.6,8%,29 : 71
1201+,Yuan Ze University,"8,017",19.9,7%,42 : 58
1201+,Yuri Gagarin State Technical University of Saratov (SSTU),"11,127",18.8,5%,28 : 72
1201+,Yuriy Fedkovych Chernivtsi National University,"11,981",10.6,1%,56 : 44
1201+,Zonguldak Bulent Ecevit University,"28,710",22.4,6%,46 : 54
1201+,Hungarian University of Agriculture and Life Sciences,"11,524",11.9,14%,53 : 47
Reporter,Universite 8 Mai 1945 Guelma,"16,105",18.4,1%,69 : 31
Reporter,University Abdelhamid Ibn Badis Mostaganem,"24,635",19.3,1%,66 : 34
Reporter,Abdullah Gul University,"1,958",14.0,9%,38 : 62
Reporter,Abertay University,"3,915",21.1,21%,48 : 52
Reporter,Ada Kent University,640,7.5,21%,34 : 66
Reporter,Adelphi University,"7,148",12.0,7%,69 : 31
Reporter,African School of Economics,158,3.2,4%,21 : 79
Reporter,Ahl Al Bayt University,"2,500",13.8,1%,54 : 46
Reporter,Aichi Prefectural University,"3,523",16.4,1%,72 : 28
Reporter,Aichi Institute of Technology,"6,028",27.8,1%,12 : 88
Reporter,Ajman University,"5,003",17.2,83%,60 : 40
Reporter,Akita Prefectural University,"1,815",8.7,1%,27 : 73
Reporter,Al Ahliyya Amman University,"4,108",12.9,57%,51 : 49
Reporter,Al Ain University,"2,918",15.0,55%,54 : 46
Reporter,Al-Furat Al-Awsat Technical University,"4,510",7.8,0%,54 : 46
Reporter,University of Alkafeel,"3,770",25.1,0%,49 : 51
Reporter,Al-Maarif University College,"6,000",17.6,1%,60 : 40
Reporter,Almazov National Medical Research Centre,986,3.9,3%,61 : 39
Reporter,Al-Muthanna University,"13,729",20.4,0%,54 : 46
Reporter,Al-Nahrain University,"4,745",4.6,0%,54 : 46
Reporter,Al-Nisour University College,"5,500",15.1,0%,44 : 56
Reporter,University of Al-Qadisiyah,"24,108",17.1,0%,50 : 50
Reporter,Al-Quds University,"10,692",13.7,6%,55 : 45
Reporter,Altai State University,"8,502",17.7,20%,58 : 42
Reporter,Alt<U+0131>nba<U+015F> University,"6,823",13.6,43%,55 : 45
Reporter,Al-Zaytoonah University of Jordan,"7,658",26.1,29%,44 : 56
Reporter,Anahuac University,"16,494",6.6,3%,55 : 45
Reporter,University of Anbar,"26,400",16.0,0%,54 : 46
Reporter,Antonio Narino University,"14,698",13.4,0%,52 : 48
Reporter,Applied Science Private University,"5,489",23.5,34%,44 : 56
Reporter,Arab American University,"11,043",31.6,44%,58 : 42
Reporter,Arabian Gulf University,"1,470",7.0,68%,68 : 32
Reporter,Armenian State University of Economics,"4,420",12.4,3%,38 : 62
Reporter,Arts University Bournemouth,"3,253",14.1,20%,69 : 31
Reporter,University of the Arts London,"16,937",12.8,57%,76 : 24
Reporter,Arturo Prat University,"12,963",22.1,9%,55 : 45
Reporter,Asahi University,"2,516",8.4,5%,33 : 67
Reporter,Ashikaga University,"1,476",17.6,16%,26 : 74
Reporter,Ateneo de Manila University,"12,742",10.6,4%,51 : 49
Reporter,Austral University,"4,517",9.5,9%,53 : 47
Reporter,Autonomous University of Chiapas,"23,275",29.1,0%,47 : 53
Reporter,Azerbaijan State University of Economics,"16,737",12.2,2%,45 : 55
Reporter,University of Babylon,"24,196",13.0,0%,49 : 51
Reporter,Badr University in Cairo (BUC),"12,128",47.2,1%,53 : 47
Reporter,University of Bahrain,"18,202",18.4,16%,64 : 36
Reporter,Bahria University,"19,451",23.9,0%,40 : 60
Reporter,Bakrie University,"3,219",33.9,0%,57 : 43
Reporter,University of Balamand,"5,020",8.0,5%,49 : 51
Reporter,University of Balochistan,"15,291",34.6,0%,39 : 61
Reporter,Banking University,"2,536",8.8,7%,
